KOREAN	ENGLISH
그들은 무방비 상태로 그 공격을 당했다.	They were caught flat-footed by the attack.
그들은 그 방을 온통 헤집으며 돈을 찾았다.	They tore the room apart, looking for money.
그들은 저작권 침해로 소송당했다.	They were sued for breach/infringement of copyright.
그들은 이윽고 그들의 새엄마를 받아들일 줄 알게 되었다.	They learned to accept their stepmother in time.
그는 그들에게 그 계획을 포기하라는 조언을 했다.	He counselled them to give up the plan.
