KOREAN	ENGLISH
동선 추적 방식이 날로 발전하고 있다.	Contract tracing is becoming more and more advanced.
맨날 하는 그 말, 영어로 뭐야_For Your Idioms	우리는 레이더로 그 비행기를 계속 추적했다.
우리는 레이더로 그 비행기를 계속 추적했다.	We continued tracking the plane on our radar.
그녀는 모계 쪽으로 자기 가문의 가계를 추적했다.	She traced her family history by matrilineal descent.
폭행범이 남긴 흔적을 추적하여 마침내 경찰이 그를 찾아냈다.	The police finally tracked down the attacker by following the traces he had left.
생활 표현 사전	우리는 어둠 속에서 우리를 추적하던 자들을 간신히 따돌렸다.
우리는 어둠 속에서 우리를 추적하던 자들을 간신히 따돌렸다.	We managed to lose our pursuers in the darkness.
