KOREAN	ENGLISH
그들은 전적으로 자신들의 자유 의지로[그들 자신이 원해서] 떠났다.	They left entirely of their own volition.
자신이 연설을 분명하고 자신감 있게 하는 모습을 마음속으로 그려 보면 도움이 될 수 있다.	It can help to visualize yourself making your speech clearly and confidently.
자신의 독립/권리를 확고히 하다	to assert your independence/rights
그녀는 자신이 아주 멋질 거라고 자신하며 외출했다.	She went out safe in the knowledge that she looked fabulous.
그녀는 자신의 능력에 대해 더 자신감을 가질 필요가 있다.	She needs to trust more in her own abilities.
